,Full name,Old.Life form,Pubescence,Latex,Genus,dsName,Life form,checked.lf
1,Abrus precatorius (L.) Walp.,climber,NA,NA,0,abrus_precatorius,non-woody,
2,Acanthaceae Juss.,NA,NA,NA,1,acanthaceae_sp1,non-woody,
3,Achyranthes aspera L.,herb,NA,NA,0,achyranthes_aspera,non-woody,
4,Achyranthes L.,NA,NA,NA,1,achyranthes_sp1,non-woody,
5,Acrostichum Linnaeus,NA,NA,NA,1,acrostochium_sp1,non-woody,
6,Adenia Forssk.,NA,NA,NA,1,adenia_sp1,non-woody,
7,Adenostemma lavenia (L.) Kuntze,herb,NA,NA,0,adenostemma_lavenia,non-woody,
8,Ageratum conyzoides L. 1753 not Hieron. 1895 nor Sieber ex Steud. 1840,herb,2,0,0,ageratum_conyzoides,non-woody,
9,Aglaia Loureiro,NA,NA,NA,1,aglaia_sp1,woody,
10,Alocasia (Schott) G. Don,NA,0,0,1,alocasia_sp1,non-woody,
11,Alphitonia incana (Roxb.) Kurz,woody,NA,0,0,alphitonia_incana,woody,Tree
12,Alsomitra L.,NA,NA,NA,1,alsomitra_sp1,non-woody,
13,Alstonia brassii Monach.,woody,NA,NA,0,alstonia_brassii,woody,Tree
14,Alstonia scholaris (L.) R. Br.,woody,0,1,0,alstonia_scholaris,woody,Tree
15,Amaranthus lividus L.,herb,NA,NA,0,amaranthus_lividus,non-woody,
16,Amomum aculeatum Roxb.,herb,NA,NA,0,amomum_aculeatum,non-woody,
17,Amomum maximum Roxb.,herb,NA,0,0,amomum_maximum,non-woody,
18,Amomum Roxburgh,NA,NA,NA,1,amomum_sp1,non-woody,
19,Annonaceae Juss. 1789,NA,NA,NA,1,annonaceae_sp1,non-woody,
20,Araujia Brot.,NA,NA,NA,1,araujia_sp1,non-woody,
21,Ardisia O. Swartz,NA,NA,NA,1,ardisia_sp1,non-woody,
22,Arecaceae Bercht. & J. Presl,NA,0,0,1,arecaceae_sp1,non-woody,
23,Arthraxon ciliaris P.Beauv.,grass,NA,NA,0,arthraxon_ciliaris,non-woody,
24,Artocarpus camansi Blanco,woody,NA,NA,0,artocarpus_camansi,woody,Tree
25,Artocarpus lacucha Buch.-Ham.,woody,NA,NA,0,artocarpus_lacucha,woody,Tree
26,Arundo L.,NA,NA,NA,1,arundo_sp1,non-woody,
27,Asplenium L.,NA,NA,NA,1,asplenium_sp1,non-woody,
28,Asteraceae Dum.,NA,NA,NA,1,asteraceae_sp1,non-woody,
29,Axonopus compressus (Sw.) P.Beauv.,grass,NA,NA,0,axonopus_compressus,non-woody,
30,Axonopus fissifolius (Raddi) Kuhlm.,grass,NA,NA,0,axonopus_fissifolius,non-woody,
31,Barringtonia J.R.Forst. & G.Forst.,NA,NA,NA,1,barringtonia_sp1,woody,
32,Benincasa hispida (Thunb.) Cogn.,climber,NA,NA,0,benincasa_hispida,non-woody,
33,Benincasa Savi.,NA,NA,NA,1,benincasa_sp1,non-woody,
34,Bhesa robusta (Roxb.) Ding Hou,woody,NA,NA,0,bhesa_robusta,woody,Tree
35,Bidens pilosa L.,herb,NA,NA,0,bidens_pilosa,non-woody,
36,Blechnum L.,NA,NA,NA,1,blechnum_sp1,non-woody,
37,Brachiaria mutica (Forssk.) Stapf,grass,NA,NA,0,brachiaria_mutica,non-woody,
38,Breynia cernua (Poir.) Mull.Arg.,woody,NA,NA,0,breynia_cernua,woody,Shrub tree
39,Bridelia macrocarpa Airy Shaw,woody,NA,NA,0,bridelia_macrocarpa,woody,Tree
40,Caesalpinia crista L.,NA,NA,NA,1,caeselpinia_christa,woody,Climber
41,Calamus aruensis Becc.,sedge,NA,NA,0,calamus_aruensis,non-woody,
42,Callicarpa pentandra Roxb.,woody,1,0,0,callicarpa_pentandra,woody,Tree
43,Callipteris Brongniart (Foss.),NA,NA,0,1,callipteris_sp1,non-woody,
44,Calopogonium mucoides Desv.,climber,NA,NA,0,calopogonium_mucoides,non-woody,
45,Campnosperma brevipetiolata Volkens,woody,NA,NA,0,campnosperma_brevipetiolata,woody,Tree
46,Canarium acutifolium (DC.) Merr.,woody,1,1,0,canarium_acutifolium,woody,Tree
47,Carica papaya L.,woody,NA,NA,0,carica_papaya,woody,semi woody
48,Caryota L.,NA,NA,NA,1,caryota_sp1,non-woody,
49,Caryota rumphiana Mart.,sedge,NA,NA,0,caryota_rumphiana,non-woody,
50,Casuarina L.,NA,NA,NA,1,casuarina_sp1,woody,
51,Centella asiatica (L.) Urb.,climber,NA,0,0,centella_asiatica,non-woody,
52,Chisocheton Blume,NA,NA,NA,1,chisocheton_sp1,woody,
53,Chisocheton ceramicus Miq.,woody,NA,NA,0,chisocheton_ceramicus,woody,Tree
54,Chromolaena odorata (L.) R.M.King & H.Rob.,herb,1,0,0,chromolaena_odorata,non-woody,climber
55,Cissus L.,NA,NA,0,1,cissus_sp1,non-woody,
56,Cissus petiolata Hook. f.,climber,NA,0,0,cissus_petiolata,non-woody,
57,Cleistanthus myrianthus (Hassk.) Kurz,woody,NA,NA,0,cleistanthus_myrianthus,woody,Tree shrub
58,Clematis L.,NA,NA,0,1,clematis_sp1,non-woody,
59,Clerodendrum inerme (L.) Gaertn.,herb,NA,NA,0,clerodendrum_inerme,woody,Tree
60,Commelina benghalensis L.,herb,NA,0,0,commelina_benghalensis,non-woody,
61,Commelina L.,NA,NA,0,1,commelina_sp,non-woody,
62,Commelina paleata Hassk.,woody,NA,0,0,commelina_paleata,non-woody,
63,Commersonia bartramia (L.) Merr.,woody,NA,NA,0,commersonia_bartramia,woody,Tree
64,Cordyline terminalis (L.) Kunth,herb,0,0,0,cordyline_terminalis,woody,Tree
65,Costus speciosus (J. Koenig) Sm.[3],herb,1,0,0,costus_speciosus,non-woody,
66,Crassocephalum crepidioides (Benth.) S. Moore,herb,NA,0,0,crassocephalum_crepidioides,non-woody,
67,Cryptocarya canaliculata van der Werff,woody,NA,NA,0,cryptocarya_canaliculata,woody,Tree
68,Cryptocarya multipaniculata Teschner,woody,0,0,0,cryptocarya_multipaniculata,woody,Tree
69,Cryptocarya novoguineensis Teschner,woody,NA,NA,0,cryptocarya_novoguineensis,woody,Tree
70,Cryptocarya R.Br.,NA,NA,NA,1,cryptocarya_sp1,woody,
71,Cucurbitaceae Juss.,NA,0,0,1,cucurbitaceae_sp,non-woody,
72,Curculigo recurvata W.T.Aiton,sedge,0,0,0,curculigo_recurvata,non-woody,
73,Cyanthillium  Blume 1826,NA,NA,NA,1,cyanthillium_sp1,non-woody,
74,Cyanthillium cinereum (Carl Linnaeus) H.Rob,herb,NA,NA,0,cyanthillium_cinereum,non-woody,
75,Cyathea contaminans (Wall. ex Hook.) Copel.,sedge,2,1,0,cyathea_contaminans,non-woody,Fern
76,Cyathea J. E. Smith,NA,NA,0,1,cyathea_sp1,non-woody,
77,Cyperus bifax C.B.Clarke,sedge,NA,0,0,cyperus_bifax,non-woody,
78,Cyperus brevifolius (Rottb.) Hassk.,sedge,NA,0,0,cyperus_brevifolius,non-woody,
79,Cyperus distans Linnaeus f.,sedge,NA,0,0,cyperus_distans,non-woody,
80,Cyperus involucratus Rottb.,sedge,NA,0,0,cyperus_involucratus,non-woody,
81,Cyperus L.,NA,NA,0,1,cyperus_sp1,non-woody,
82,Cyperus rotundus L.,sedge,NA,0,0,cyperus_rotundus,non-woody,
83,Cypholophus friesianus (K.Schum.) H.J.P.Winkl.,woody,NA,0,0,cypholophus_friesianus,woody,Shrub tree
84,Cypholophus lutescens (Blume) Wedd.,woody,NA,NA,0,cypholophus_lutescens,woody,Shrub tree
85,Cypholophus macrocephalus (Blume) Wedd.,woody,NA,0,0,cypholophus_macrocephalus,woody,Shrub tree
86,Cypholophus Wedd.,NA,NA,0,1,cypholophus_sp,non-woody,
87,Cyphomandra betacea (Cav.) Sendt.,woody,NA,0,0,cyphomandra_betacea,woody,Tree
88,Cyrtandra erectiloba G.W.Gillett,woody,NA,0,0,cyrtandra_erectiloba,woody,Shrub
89,Davallia denticulata (Burm.) Mett.,fern,NA,0,0,davallia_denticulata,non-woody,
90,Davallia Smith,NA,NA,0,1,davallia_sp1,non-woody,
91,Debregeasia longifolia (Burm.f.) Wedd.,woody,NA,0,0,debregeasia_longifolia,woody,Tree
92,Dendrocnide cordata (Warb. ex H.J.P.Winkl.) Chew,woody,NA,0,0,dendrocnide_cordata,woody,Tree
93,Dendrocnide longifolia (Hemsl.) Chew,woody,NA,NA,0,dendrocnide_longifolia,woody,Tree
94,Dendrocnide Miq.,NA,NA,NA,1,dendrocnide_sp1,woody,
95,Desmodium repandum (Vahl) DC.,herb,NA,0,0,desmodium_repandum,non-woody,
96,Desmodium tenax Schindl.,herb,NA,0,0,desmodium_tenax,non-woody,Shrub climber
97,Desmodium uncinatum (Jacq.) DC.,herb,NA,0,0,desmodium_uncinatum,non-woody,
98,Dianthera L.,NA,NA,NA,1,dianthera_sp1,non-woody,
99,Dichanthium sericeum (R.Br.) A.Camus,grass,NA,0,0,dichanthium_sericeum,non-woody,
100,Dichapetalum papuanum (Becc.) Boerl.,climber,NA,NA,0,dichapetalum_papuanum,non-woody,climber
101,Dichrocephala bicolor (Roth) Schltdl.,herb,NA,0,0,dichrocephala_bicolor,non-woody,
102,Dillenia L.,NA,NA,NA,1,dillenia_sp1,woody,
103,Dioscorea L.,NA,NA,NA,1,dioscorea_sp1,non-woody,
104,Diplazium esculentum (Retz.) Sw.,fern,0,0,0,diplazium_esculentum,non-woody,
105,Diplazium Swartz,NA,NA,0,1,diplazium_sp1,non-woody,
106,Dracaena angustifolia (Medik.) Roxb.,sedge,NA,NA,0,dracaena_angustifolia,non-woody,
107,Dracontomelon lenticulatum Wilkinson,woody,NA,NA,0,dracontomelon_lenticulatum,woody,Tree
108,Drymaria cordata (L.) Willd. ex Schult.,climber,NA,0,0,drymaria_cordata,non-woody,
109,Dubouzetia novoguineensis A.C.Sm.,woody,NA,0,0,dubouzetia_novoguineensis,woody,Tree
110,Dubouzetia Pancher ex Brongn. & Gris,NA,NA,NA,1,dubouzetia_sp1,woody,
111,Dysoxylum archboldianum Merrill & Perry,woody,NA,NA,0,dysoxylum_archboldianum,woody,Tree
112,Eclipta alatocarpa Melville.,herb,NA,NA,0,eclipta_alatocarpa,non-woody,
113,Eclipta L.,NA,NA,NA,1,eclipta_sp1,non-woody,
114,Eclipta prostrata (L.) L.,herb,NA,NA,0,eclipta_prostrata,non-woody,
115,Elaeocarpus dolichostylus Schltr.,woody,NA,0,0,elaeocarpus_dolichostylus,woody,Tree
116,Elaeocarpus murukkai Coode,woody,NA,NA,0,elaeocarpus_murukkai,woody,Tree
117,Elaeocarpus sphaerocarpus H.T.Chang,woody,NA,0,0,elaeocarpus_sphaerocarpus,woody,Tree
118,Elatostema integrifolium (D.Don) Wedd.,herb,NA,0,0,elatostema_integrifolium,woody,shrub
119,Elatostema J.R.Forst. & G.Forst.,herb,NA,0,0,elatostema_sp1,woody,
120,Embelia Burm.f.,NA,NA,NA,1,embelia_sp1,woody,
121,Embelia cotinoides (S.Moore) Merr.,climber,0,0,0,embelia_cotinoides,non-woody,climber
122,Emilia sonchifolia (L.) DC. ex Wight,herb,NA,NA,0,emilia_sonchifolia,non-woody,
123,Endiandra brassii C.K.Allen,woody,NA,NA,0,endiandra_brassii,woody,Tree
124,Endospermum labios Schodde,woody,0,0,0,endospermum_labios,woody,Tree
125,Endospermum medullosum L.S.Sm.,herb,NA,NA,0,endospermum_medullosum,non-woody,
126,Erechtites valerianifolia (Link ex Wolf) Less. ex DC.,herb,NA,NA,0,erechtites_valerianifolia,non-woody,
127,Erigeron L.,NA,NA,NA,1,erigeron_sp1,non-woody,
128,Erigeron sumatrensis Retz.,herb,NA,0,0,erigeron_sumatrensis,non-woody,
129,Etlingera Giseke,NA,0,0,1,etlingera_sp1,non-woody,
130,Etlingera labellosa (K.Schum.) R.M.Sm.,woody,NA,NA,0,etlingera_labellosa,non-woody,Herbs
131,Eugenia javanica Lam.,woody,NA,NA,0,eugenia_javanica,woody,Tree
132,Euphorbia heterophylla L.,herb,NA,NA,0,euphorbia_heterophylla,non-woody,
133,Euphorbia hirta L.,herb,NA,NA,0,euphorbia_hirta,non-woody,
134,Eupomatiaceae Orb.,NA,NA,NA,1,eupomatiaceae_sp1,woody,
135,Fabaceae Lindl.,NA,NA,NA,1,fabaceae_sp1,non-woody,
136,Falcataria moluccana (Miq.) Barneby & J.W.Grimes,woody,0,0,0,falcataria_moluccana,woody,Tree
137,Ficus adelpha K.Schum. & Lauterb.,woody,NA,NA,0,ficus_adelpha,woody,Tree
138,Ficus adenosperma Miq.,woody,NA,1,0,ficus_adenosperma,woody,Tree
139,Ficus arfakensis King,woody,1,1,0,ficus_arfakensis,woody,Tree
140,Ficus aurantiacifolia Weiblen & Whitfeld,woody,NA,NA,0,ficus_aurantiacifolia,woody,Tree
141,Ficus badiopurpurea Diels,woody,NA,NA,0,ficus_badiopurpurea,woody,Tree
142,Ficus botryocarpa Miq.,woody,NA,NA,0,ficus_botryocarpa,woody,Tree
143,Ficus calopilina Diels,woody,NA,1,0,ficus_calopilina,woody,Tree
144,Ficus congesta Roxb.,woody,NA,1,0,ficus_congesta,woody,Tree
145,Ficus conocephalifolia Ridl.,woody,NA,NA,0,ficus_conocephalifolia,woody,Tree
146,Ficus copiosa Steud.,woody,1,1,0,ficus_copiosa,woody,Tree
147,Ficus dammaropsis Diels,woody,NA,1,0,ficus_dammaropsis,woody,Tree
148,Ficus edelfeltii King,woody,NA,NA,0,ficus_edelfeltii,woody,Tree
149,Ficus endospermifolia Corner,woody,NA,NA,0,ficus_endospermifolia,woody,Tree
150,Ficus erythrosperma Miq.,woody,NA,NA,0,ficus_erythrosperma,woody,Tree
151,Ficus hahliana Diels,woody,2,1,0,ficus_hahliana,woody,Tree
152,Ficus hispidioides S.Moore,woody,NA,NA,0,ficus_hispidioides,woody,Tree
153,Ficus hombroniana Corner,woody,NA,NA,0,ficus_hombroniana,woody,Tree
154,Ficus jimiensis C.C.Berg,woody,NA,NA,0,ficus_jimiensis,non-woody,Climber
155,Ficus L.,NA,0,1,1,ficus_sp1,woody,
156,Ficus melinocarpa Blume,woody,NA,NA,0,ficus_melinocarpa,woody,Tree
157,Ficus mollior F.Muell. ex Benth.,woody,NA,NA,0,ficus_mollior,woody,Tree
158,Ficus morobensis C.C.Berg,woody,1,1,0,ficus_morobensis,woody,Tree
159,Ficus nodosa Teijsm. & Binn.,woody,0,1,0,ficus_nodosa,woody,Tree
160,Ficus pachyrrhachis K.Schum. & Lauterb.,woody,NA,NA,0,ficus_pachyrrhachis,woody,Tree
161,Ficus pungens Reinw. ex Blume,woody,2,1,0,ficus_pungens,woody,Tree
162,Ficus rubrivestimenta Weiblen & Whitfeld,woody,NA,NA,0,ficus_rubrivestimenta,woody,Tree
163,Ficus sangumae Weiblen & Whitfeld,woody,0,1,0,ficus_sangumae,woody,Shrub
164,Ficus semivestita Corner,woody,NA,NA,0,ficus_semivestita,woody,Tree
165,Ficus septica Burm.f.,woody,1,1,0,ficus_septica,woody,Tree
166,Ficus subulata Blume,woody,NA,NA,0,ficus_subulata,non-woody,Climber
167,Ficus trachypison K.Schum. & Lauterb.,woody,NA,NA,0,ficus_trachypison,woody,Tree
168,Ficus trichocerasa Diels,woody,2,1,0,ficus_trichocerasa,woody,Tree
169,Ficus variegata Blume,woody,0,1,0,ficus_variegata,woody,Tree
170,Ficus wassa Roxb.,woody,NA,1,0,ficus_wassa,woody,Tree
171,Ficus xylophylla (Miq.) Wall. ex Miq.,woody,0,1,0,ficus_xylophylla,woody,Tree
172,Fimbristylis dichotoma (L.) Vahl,herb,NA,0,0,fimbristylis_dichotoma,non-woody,
173,Flagellaria indica L.,climber,NA,NA,0,flagellaria_indica,non-woody,
174,Garuga floribunda Decne.,woody,NA,NA,0,garuga_floribunda,woody,Tree
175,Gastonia spectabilis (Harms) Philipson,woody,1,0,0,gastonia_spectabilis,woody,Tree
